قرطاج,حي الخضراء,حلق الوادي,باردو,المنزه,المرس ى,الكرم,العمران الأعلى,العمران,التحرير,list
15,13,24,38,20,63,25,38,24,11,"قائمة أمن شامل لإنقاذتونس"
38,15,12,22,15,42,36,36,20,10,قائمة الشعب يريد
30,13,8,46,14,31,20,48,30,9,قائمة حزب البناء الوطني
51,49,30,115,33,75,65,70,41,25,"قائمة حزب الجبهةالوطنية التونسية"
80,87,80,191,98,232,156,164,118,68,قائمة حركة وفاء
21,8,12,36,7,25,29,33,121,6,قائمة لنا الحق
8,10,9,46,5,30,25,33,28,20,"قائمة تيار صوت الشعبالحر"
21,16,25,50,10,55,27,35,22,19,"قائمة الحزب الجمهوريالمغاربي"
58,155,120,282,157,147,93,188,69,95,"قائمة حزب التحالفالديمقراطي"
5,5,9,33,5,47,10,26,18,15,"قائمة الربيع العربيلتحقيق السيادة"
9,9,9,26,10,33,13,14,9,5,"قائمة اتحاد الشبابالديمقراطي التونس ي"
17,22,14,48,16,43,32,43,22,13,قائمة حزب العمل التونس ي
11,5,5,16,5,21,14,17,13,5,"قائمة اتحاد القوىالشبابيّة"
77,93,124,267,166,400,143,135,103,63,قائمة حزب التكتّل
478,357,464,1166,267,1007,760,1119,457,517,"قائمة حزب الاتحادالوطني الحرّ"
27,13,26,50,6,32,28,40,31,16,"قائمة حركة الديمقراطينالاشتراكيين"
32,10,12,24,6,46,57,36,21,8,قائمة حركة التونس ي
28,11,17,82,18,98,45,61,36,18,القائمة البورقيبية
26,7,47,41,15,36,43,35,25,9,قائمة محيطنا نماء لثروتنا
22,30,17,89,41,34,18,31,19,15,"قائمة حزب الحركةالدستورية"
2,7,4,27,4,14,5,17,11,13,"قائمة حزب النورللديمقراطية والتنمية"
290,495,511,1303,449,714,554,800,358,404,"قائمة حزب التيارالدّيمقراطي"
22,14,12,49,15,33,30,36,29,16,قائمة حزب الأمان
612,732,945,1636,1336,1469,836,768,391,394,قائمة حزب آفاق تونس
2,5,11,39,3,21,13,20,28,3,"قائمة حزب اللقاءالدستوري"
58,47,53,112,49,151,83,85,42,33,قائمة حزب المجد
392,417,518,1272,708,985,641,695,310,286,قائمة الجبهة الشعبية
82,36,35,72,23,67,58,66,42,24,قائمة حركة الشعب
6,6,11,19,10,22,13,20,12,8,"قائمة الحزب الليبراليالتونس ي"
289,206,227,359,759,609,214,162,139,65,"قائمة الاتحاد من أجلتونس"
4,11,9,16,3,19,9,49,54,4,"قائمة الحركة الديمقراطيةللإصلاح والبناء"
21,8,13,21,5,19,16,14,9,4,قائمة أبناء الشعب
6,10,12,8,6,23,8,23,9,5,"قائمة حركة الشبابالوطني التونس ي"
181,243,219,597,208,325,315,339,157,160,"قائمة حزب المؤتمر منأجل الجمهورية"
2418,3108,3213,8285,2237,5794,4723,6296,3443,2733,قائمة حزب حركة النهضة
68,57,91,162,41,253,148,174,125,54,قائمة حزب تونس للجميع
9986,8197,10406,16108,17907,23757,11347,7940,5735,3662,"قائمة حزب حركة نداءتونس"
16,14,23,48,11,65,13,31,19,8,قائمة حزب الثقافة والعمل
17,4,10,31,11,32,18,24,29,7,قائمة اليد في اليد
34,41,55,120,32,111,84,113,68,29,قائمة تيار المحبة
81,32,58,63,34,116,90,56,43,16,قائمة نداء قرطاج
17,16,53,37,16,54,33,35,21,6,"قائمة حزب صوت شعبتونس"
